Order,Reviewer_Name,Date,Review,Sentiment Score,Sentiment Category,Related_to_Feminism
2,aherdofbeautifulwildponies,26-Jul-23,before making barbie 2023greta gerwigsinglehandedly directed two filmslady bird 2017andlittle women 2019 both were about girls on the precipice of adolescence both had nuanced and layered portrayals of motherdaughter relationships both combined imaginative visuals with clever dialogue both were very very good given those credentials one may expect barbie to be as intelligent convincing and amusing a picture  and well it isntthe fantasy comedy begins in barbie land a place where barbie played bymargot robbie is having the best day every day in the company of other barbies and occasionally kens the designs costumes and cinematography do an excellent job recreating the mattel vision in its pink plastic perfection the introduction is referential but not overtly reliant on what is external to the film it is smartly selfaware and presents a world where barbie can be anything  a president a physicist a journalist a lawyer or a mermaid much like with the original toys ken ryan gosling comes as an afterthought and only exists within the warmth of barbies gazethe plot is set in motion when barbie begins having thoughts about death and normally suspended in the state of standing on the balls of her feet she feels her heels hit the ground what follows isthe wizard of oz 1939journey in reverse the parallel is explicit and ultimately a pinocchio storyline of the doll in the real worldif barbie was fully dedicated to that conceit  as promised by the trailer  it could be an interesting exploration in the way ofthe truman show 1998orstranger than fiction 2006 instead the film chooses to introduce a handful of conflicts threats and plotlines that are never fully realised what is the nature of the connection between a barbie and the girl who plays with the doll in the real world what would happen if barbie were put back in the box why is gloria america ferrera the receptionist at the mattel headquarters and later barbies realworld companion depressed  and how is that eventually resolved why is glorias daughter sasha ariana greenblatt cross with her mother why does the board of mattel spend one third of the film hiding in the bushes most importantly the crux of the thirdact conflict  set in barbie land now renamed kendom  contradicts what had been previously established about that world and its inhabitantstowards the finale the production evolves into explicit commentary on gender roles one side is presented as clueless and attentionseeking while the other is manipulative and vengeful the film repeatedly takes offence with mansplaining yet behaves in a blithely patronising manner towards the viewer much of what is declared is not supported by what has been shown and the picture relies on the presumed prior experience of the audience rather than on storytelling while the denouement includes one of the films highlights the musical number im just ken the ending does not resolve or acknowledge much and the final scene is reductive to the point of being offensivebarbie is very easy on the eye and the acting ranges from competent to inspired with praiseworthy performances by the leading actors margot robbie is pitchperfect as barbie and ryan gosling shines as her counterpart often stealing the show situational comedy and slapstick mostly land while some of the bon mots are funny yet hardly plausible when spoken by the charactersif only this were better written if only the joyride in the pink convertible did not leave you with blond hair in your mouth,0.986,positive,True
4,Natcat87,22-Jul-23,as a woman that grew up with barbie i was very excited for this movie i was curious to see how they would evolve the stereotypical barbie into something more but the messaging in this movie was so heavy handed that it completely lost the plot i consider myself a proponent of gender equality and this aint the way to get itbarbieland flips the script on the patriarchy of the real world giving women the power and leaving the kens as attractive accessories once ken gets a glimpse of the real world he brings the patriarchy to barbieland and the barbies are brainwashed this happens suddenly and without much explanation the kens are bumbling fools with zero understanding of governance and barbieland falls into disarraythe movies solution to this is for the barbies to give a lot of ted talks on the patriarchy fool the kens into war with each other and rule once again but isnt the point if gender equality equalitythe feminist messaging could have been so much more effective if it was laid on so thick more humor and nuance please the story gets lost the real world characters dont add much and not much changes in the endwhat was enjoyable was the acting the sets and of course the nostalgia,0.78,positive,True
11,kayleewillis-85920,27-Aug-23,this is a movie that was way overhyped everyone kept saying it was so amazing but when i finally go to watch it it was not at all what i thought it was going to be the storyline was not good it was a basic and corny storyline in my opinioni didnt care for how they portrayed ken ryan gosling is an amazing actor but he is not a good representation of ken when it comes to how he looks and how the actual ken doll looks the way he acted as ken was not that good either but he didnt get much help from the writers for the way they wrote his part the movie had so much potential but was definitely a let down one positive is that it had some funny parts but it could of been written much better and could of had a much better storyline,0.938,positive,True
14,hamsterination,19-Jul-23,the films universe and settings are fantastic the casting is really good too with gosling excelling in the role of kenregrettably however the film completely misses the chance to appeal to people who grew up with barbie instead were left with a film that almost divides and pits men against women in an attempt to make it a feminist and political filminstead of seeing a light fun film i saw a rather heavyhanded movie whose storyline is centered around patriarchyits a real shame because the films potential is pretty amazing i came away disappointed but not totally disgusted either,0.9046,positive,True
16,Genti25,20-Jul-23,this movie is so much fun it starts off really strong although the story does move away from barbieland sooner than i would have liked nonetheless it regains its footing with the final act in particular and i could not stop laughing at ryan goslings portrayal of ken that song will forever be stuck in my headthere are also plenty of good messages to be taken away from this experience that is if youre not an insecure middleaged male terrified of women i loved everything the movie had to say about the patriarchy and barbies and growing up and consumerism and so much morei am excited to watch it again soon the pacing is not perfect and its huge potential is not fully matched but purely as a cinematic experience i will never forget this movie,0.8029,positive,True
17,fscsgxp,20-Jul-23,ive been excited for this movie for over a year the casting was perfect and the acting was amazing the set was next level the tiny details were all there and even the highest barbie fan couldnt ask for anything more from it it is perfectionthe first half of the movie was really good a decent plot plenty of laughs and a decent explanation of what is going on unfortunately after a while it just becomes a rant about feminism  how oppressed women are im a woman myself and im all for equal rights but the amount they shoved into this movie just overtook the fun completely it felt very forced and by the end you were left with the same feeling you get after scrolling through a toxic comment thread on a social media post so sad spoilers ahead even more sad the end message of the film when the barbies take back barbieland is basically that they are no better than the kens or men are they manipulate them undermine them and then when given the chance to be better the kens asking to have one ken presented in the supreme court which is all barbies they laugh and tell them no choosing to treat the kens or men how theyve always treated women so they are no better than the kens in the end how sad isnt there a world where they can be better include the kens and all be equals what are we trying to teach young girls that feminism is demeaning men just like we have been demeaned in the past also i would have hoped we were past making a movie entirely about how hard women have it life is hard for most people men  women alike and its easier when we acknowledge that and treat each other like fellow humans instead of two warring species,0.9452,positive,True
18,herrcarter-92161,23-Jul-23,my 15year old daughter wrote the following review and posted it to my imdb accountas a barbie fan i was very excited for this movie i was expecting a lighthearted goofy comedy instead i got a movie that felt as though it didnt know where it was going or what it was doingthe movie starts of as a fun goofy comedy then things start changingthings start going wrong for barbie and she has to go to the real world to fix it she is supposed to help the person who has been playing with her to fix her problems in barbie land this on its own wouldve been enough for a movie but it keeps goinginstead of going in depth about the life of the mother who has caused these problems for barbie the movie goes off in a totally different directionken sees the real worlds patriarchy and goes back to barbie land to replicate it barbie has to go back to barbie land to save it from its new patriarchyby the end of the movie barbie decides to live in the real world the kens of the barbie land are basically back to as little power they had before their uprising i find the treatment of the kens at the end to be hypocritical compared with the movies supposed messaging about equalitythis movies writing and plot were bad even as a feminist i acknowledge that the messaging was terribly preachy i feel as though many of these different plot ideas couldve been good on their own they are just too confusing all togetheron a good note the acting and sets in this movie were really good i loved seeing the plastic barbie houses lifesized the movie was also very funny at parts i just wish the movie picked a clearer direction,0.9566,positive,True
21,tm-sheehan,19-Jul-23,"my review  barbie
in cinemas now
my rating 6510ive been keenly looking forward to seeing this much publicised movie because im a great fan of margo robbie ryan gosling and greta gerwigs worki held the opinion from first hearing about it that it was either going to be brilliant and id love it or a huge disappointment and id loathe it in other words no in between for mehow ever thats not the case i didnt love it and i didnt loathe it i have to accept that i
just didnt get it perhaps its because that im a 70 plus baby boomer male who felt that the strong feminist message directed towards the predominantly heterosexual male patriarchy for me was just preaching to the converted barbie is a comedy fantasy which certainly packs a not so subtle feminist smack in the face of the men who devalue the equality and contribution that women play in our society but they wont see barbiethe audience on this special preview was young mainly women and they seemed to get the jokes that i didnt and seemed to react very well to the movie applauding at the conclusionno spoilers about the plot you should judge it yourself as the story is not as simple as the trailer portrays it to be barbie and ken leave the other barbies and kens behind in barbieland to venture through a portal caused by a stereotypical barbie played to perfection by margo robbie  barbie is experiencing disturbing emotions that she has to explore further in the real world of humans to understand in an effort to retain her eternal optimismken her buff nerdy and needy boyfriend played by ryan gosling joins barbie on her quest to travel through the portal landing at venice beach california complete with roller skates only to discover that the values and gender roles of barbie land are reversed in the real world  the question for both the surprised dolls is which world do they want to live inpink cloud sunny barbie land where every day is the same and perfect or the human world of corporate greed and misogyny where you grow old and diemargo robbie and ryan gosling both are impressive and their comedy timing adds a light touch to the darker undertone of the filmbarbie for me has some entertaining moments but they were melting moments for me and while i hope its popular for the creators of the movie im left puzzled at what audience its aimed at the male population that greta gerwig cleverly parodies through ken and his ken buddies certainly wouldnt see her movie and i think the disney generation of under 15 would be bored i did enjoy the technical aspects of barbie and the incredible amount of research and effort that has gone into producing this very expensive would be box office blockbusteri also enjoyed homage to great movies of the past like stanley kubrics 2001 a space odysee  saturday night fever and of course the wizard of oz its one of the most anticipated movies of 2023 and has been in the pipeline for over a decade and in 2018 after little action was passed into the hands of warner bros then in 2019 they finally announced margot robbie and greta gerwig as the lead actordirector duo for this filmdirector greta gerwig co wrote the screenplay with her partner with noah baumbach basing their story on the famous barbie fashion dolls by mattel  it is the first live action barbie film so a lot of creative reputations are dependent on its success mattel the toy company that created barbie obviously approved of the movie getting screen credit and representation in greta gerwigs clever perhaps to clever scriptmattel contributed input towards the set design of the film keeping the oldschool charm of the barbie world intact and i suspect there will be a surge in sales as all the famous barbie dolls get a mention in this filmnoah baumbach is executive producer as well as his partner greta gerwig and margo robbie the movies effervescent star are all producers on this project that has an estimated production budget of 145 million usmargo robbie has been quoted as saying that the films aim is to subvert expectations and give audiences the thing you didnt know you wantedim not so sure about that statement as barbie didnt reach my expectations and i felt the thing i didnt know i wanted wasnt what i wanted at alltop marks to cinematographer rodrigo prieto who created a unique color palette for the film that greta gerwig named technibarbie after the technicolor format also top marks to two time academy award winner designer jacqueline durran its a given that costumes would be one of the most important factors about the movie",0.999,positive,True
25,njamesgentry,17-Sep-23,margot robbie was born to play barbie of course shes incredibly beautiful talented funny and hip however i didnt have some lifealtering epiphany like so many others did i actually thought the film was way too cheesy 45 minutes too long and also confusing at times i love the originality and strong feminist viewpoint the idea of ken learning about misogyny and sexism essentially bringing these twisted ideas to barbieland leading all barbies to succumb to a more subservient role while ultimately forcing them to rediscover their own power talents intelligence and individuality but after an hour or so i kept thinking why cant barbie just sing a song i wanted a fluffier comedic barbie while what i got was a doll having an existential crisis it was depressing at times the cast was phenomenal of course i just didnt expect it to be such a mess in terms of storytelling,0.6146,positive,True
28,arslanmanzoor123,21-Jul-23,some friends freaking out that i went to see barbie lol i mean i mentioned i went coz my sister insisted since ages anyway the movie was bad these days every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that i wished i had gotten the ticket for oppenheimer in the same timings as my sisters barbie show other than that the acting done by margot robbie and ryan gosling was great so cant take that away from them they did justice to their roles,0.8957,positive,True
36,adamblackshaw-14445,29-Aug-23,barbie is a great example of hype over substance it is laugh out loud at times and gosling steals every scene hes in the art direction is on point what makes it tiresome is the message pummelled into the audience but then were we expecting any subtly probably not ultimately my wife just thought i already know this i dont need to hear it but maybe some women do i get her point in the end it felt like we were being sold barbie dolls as some kind of icon of feminism but seriously they are a very poor example of female role models not surprisingly mattel was one of the producers,-0.4627,negative,True
37,moviesgamesandvideos,9-Sep-23,the film does not live up to the marketing its about as subtle as a steamroller and deep as a puddle there must be primary school books with more depth and nuance than this filmthe music is good and the plot moves along at pace but its like it was written by an angsty tween yay feminism is about as deep as the message gets and its pretty much the entire purpose and plot of the film it doesnt offer up anything to think about just a bubblegum world that is just a carbon copy of the toyswith all the barbenhiemer hype and marketing i expected more from the movie oppenheimer and barbie are about as polar opposites of filmmaking as its possible to get,0.9337,positive,True
42,mr_bickle_the_pickle,25-Jul-23,its an incredibly fun movie lots of laughs very campy over the top humour but also surprisingly touching my favourite scene of the movie is just rather a small quiet moment where barbie is observing every day life and tells an old woman how beautiful she is margot robbie shines in the lead role ryan gosling clearly was having a lot of fun with the role but dont sleep on michael cera as allan i know a lot of people say that ryan gosling is a scene stealer but personally i thought michael wasthe soundtrack also works really within the film i dont know how many of them i would listen to separately i also wouldnt be suprised if either im just ken or what was i made for or both was nominated for an oscar speaking of oscars i think this is also has a good chance of being nominated for production design costumes hair and makeup  because visually this movie is such a treatnow i dont think all aspects worked for me i dont think the mattelceo subplot was needed there could have been another way for her to go back to barbieland organically i felt like the film was already tackling a lot with themes of patriarchy and feminism and having this chase scene didnt add much also glorias america ferrera monologue now dont get me wrong i think there is a lot truth to it but i just found it somewhat onenote it didnt exactly blow me away as it has for others and lastly i undertstand the importance of having ruth handler featured in the moviejust a little weird that it was represented as her being a ghost that lives in mattel headquartersoverall i would definitely recommend the film youll laugh youll cry youll have fun this isnt just a movie it is the moment,0.9932,positive,True
43,kk-59333,6-Nov-23,the movie isnt as fantastic as it was hyped to be its deconstruction of patriarchy and satire fall short of what was expected instead it seems to remain on a rather superficial level of girls can do anything and find yourself the most controversial aspect of the barbie character whether it exacerbates womens appearance anxiety is hardly mentioned at all in my view its essentially a reiteration of the same old themes just presented in updated ways however considering hollywoods consistent conservatism and focus on profits i appreciate that this is a brave attempt at expressing feminism within the worlds most profitdriven film industry,0.5078,positive,True
47,Lincsobserver,10-Sep-23,who exactly was this film aimed at most of the audience when i saw it were adolescents and there were numerous perhaps too many colourful song and dance scenes which might have appealed to younger viewers but also a lot of philosophical debate about gender roles and interrelationships that would have gone over their heads particularly as these were delivered at a frantic garbled pace there were some good comic scenes and standout performances by margot robbie and ryan gosling but as the film wore on it all became a bit preachy the message seemed to be about finding selffulfilment rather than romance okay not every film or every life has to end in a fairytale romantic coupling but the emphasis on individual fulfilment within the support structure of the sisterhood seems a little bleak it also makes nonsense of the final confusing payoff line of the film,0.8573,positive,True
49,Leofwine_draca,20-Aug-23,barbie is a film i find incredibly difficult to both review and rate on the face of it the trappings are pitiful and the tone is all over the place the audience i saw it with were laughing at the dumbest jokes imaginable like gosling bouncing off the plastic wave and missing all of the depth which is what i personally found appealing its very hard to take such a tongueincheek approach seriously but then you could argue that its deliberately bad deliberately plasticky not that that excuses the bad acting from the likes of ferrera et al despite this the films skewering of the patriarchy is spoton and gosling turns out to be very good stealing the film from the others so its a film i appreciate some parts of and not others,-0.8915,negative,True
