Order,User Name,Date,Time,Like Count,Comment,User Link,Sentiment Score,Sentiment Category,Related_to_Feminism
1,@thing9561,27/11/2023,22:08:43,1,i think we just got to remember that barbie was also a comedy film so alot of the stuff said i wouldnt personally take very seriously and i dont believe the message they were trying to send out was matriarchy vs patriarchy but instead what it is to be a human and your own person i may be bias tho because ive been singing im just ken very poorly for a few months now lol,http://www.youtube.com/channel/UCXwoMF0v7XC5MgzP7SBPoCQ,0.5193,positive,True
2,@mitchliam9328,26/11/2023,8:58:35,2,"its satire against matriarchy and patriarchy misogyny and misandry a commentary on the current battles of conservatism and libertarianism 

it also focuses on the protagonists personal journeys and struggles rather than pushing a woke agenda although elements of wokeness are present its not the worst thing that has come out and is fairly entertaining

the main thing i appreciated about it is it is open to interpretation if you choose to see it under a woke lense you will find it dry on the other hand if a 3rd wave feminist sees this theyll might be concerned there were not enough points to scrutinize men under 

as margot said its a film for everyone it pushes in neither direction and shows how either side of can be detrimental right and wrong

overall it was alright and probably deserved of the 1 billion profit especially after such great marketing",http://www.youtube.com/channel/UCEulVAA56UqSs_hi7F-DeqA,0.9344,positive,True
13,@RoseFinger99,13/11/2023,4:41:32,2,i got more of the feeling that this movie was satirical and pointed out the flaws of full patriarchy and matriarchy ken misunderstood the real worldthat actually neither and both men and women have struggles still trying to over dissect it is like trying to explain a joke its meant for entertainment and move on,http://www.youtube.com/channel/UCKakAy13scYY2M4s2Ey1U7A,0.5209,positive,True
26,@carlyeslinger,24/10/2023,16:40:09,0,"it was not at all what i expected though id heard that about it already i thought it was very thoughtprovoking i am however quite fascinated with the differences in genders gender roles and communication younger generations may not be aware that not so long ago the patriarchy pretty much did exist and was firmly in place 
still yes we need more media that draws the genders together in cooperation and collaboration rather than distancing us further from each other awareness of our inherent differences is a first step in understanding",http://www.youtube.com/channel/UCFBFFpXiwaf_8Cidu8mCgKA,0.8516,positive,True
33,@sven888,9/10/2023,19:13:59,1,"second wave feminism has gone of the rails and is now full of anger and hate towards men which is not only bad for women because the hate will eventually 
boomerang back but also confusing for men and children it is negatively affecting the family as a whole
that cannot be the purpose of life
man and woman are complementary
as an alternative to all the divisiveness
jesus is all about peace and love
so ill stick to the teachings of jesus thank you",http://www.youtube.com/channel/UCvaeSxeU1oJw1Y3p7TUY97g,0.5268,positive,True
35,@Helux1957,7/10/2023,20:57:47,1,the character arc for barbie ends with that she wants to finally leave barbieland and be a real woman in the real world no one talks about the pinocchio angle so barbie doesnt like the patriarchy and doesnt seem to like the matriarchy  barbieland that sheand the filmthink is so much better the film is pretty hamfisted in its woman goodmen bad presentation,http://www.youtube.com/channel/UCu3zaTxB7QfQQnIPP7QiQUw,-0.4598,negative,True
36,@authorminator1579,7/10/2023,1:06:48,0,"1 751  they sent the message that the world should be a matriarchy

no that wasnt the mesage they specifically said in the end that the kens will have as much power in barbieland as women have in real world which actually implies that its the real world that needs to have equality among the sexes so that it can be reflected in the real world it shouldnt be the other way around

2 852  you mention the same dialogue but you are saying it might be a joke or a haha moment its not that line is the message of gender equality dont know why would anyone take that as a funny moment

3 859  women truely have no power in the real world

real power might be an exaggeration by you but women certainly have very less power than men in the real world i am glad that you dont feel that in your life but for other millions of women the situation is pretty bad specially in other parts of the world for example where i am from i am torn to see that even as a guy


sadly you didnt get the message right it is very much a patriarchal system prevalent out in the world however i respect your pov and i still enjoy your content have a good day",http://www.youtube.com/channel/UC2eb_GtL9-QLvXsQCP64Vgg,0.9682,positive,True
41,@its.cassie,3/10/2023,13:13:29,0,"as far as films in general go barbie is a pile of cold dogsht
wokeness factor aside the script was garbage as was the premise the msm is trying to promote it as fairy tale akin to modern day feminism meanwhile it does nothing but harm women and the little girls watching it specifically  
promoting bs stereotypes to the extreme 
i cannot imagine why any actor would sign on for the project after reading the script tbh
im glad to hear i wasnt the only one picking up the crap they were throwing down",http://www.youtube.com/channel/UCEn6QS3Dnb9_RaT06iRQf0g,0.8564,positive,True
58,@meisage6464,23/9/2023,11:36:37,0,people qualifying the movie as woke like its a bad thing like are you really that against gender equality,http://www.youtube.com/channel/UCLEj7cewu6GY5fCesFPN9vg,0.128,positive,True
59,@MagdaTrendafilovaLappa,22/9/2023,22:06:10,2,just watched this movie and it made me feel very bad for barbie and for ken they both end up alone and that feels strange and wrong i feel like this movie destroyed my childhood  barbie and ken were supposed to be soul mates completely in love strong together and completing each other humans are social creatures and we need the sense of belonging and being part of a family this movie totally destroyed that idea i dont know what message they were supposed to bring to the world honestly misogyny and feminism are two extremes that neither will help our world heal and be fair like how could all the barbies have dream houses but poor kens were literally homeless how is that supposed to be equal and fair i am honestly so mad at this movie right know ,http://www.youtube.com/channel/UCVr5u-Y4DHw8uHW5KnMSuiQ,-0.5462,negative,True
